abonnement_id,nom,categorie,tier,prix,frequence,a_promo,mois,annee,numero_mois,nb_ventes,tentatives,taux_conversion,prix_marche,economie_pct
7,Xbox Game Pass,gaming,Silver,11.99,mensuel,1,2025-08,2025,8,11,14,0.79,15.33,21.8
8,Coursera Plus,education,Platinum,49.99,annuel,1,2025-08,2025,8,3,4,0.75,56.37,11.3
9,NordVPN,securite,Normal,7.99,mensuel,1,2025-08,2025,8,17,19,0.89,9.4,15.0
10,Adobe Creative,productivite,Platinum,54.99,mensuel,0,2025-08,2025,8,0,2,0.0,68.26,19.4
11,Disney+,streaming,Normal,8.99,mensuel,0,2025-08,2025,8,10,11,0.91,10.63,15.4
12,Duolingo Plus,education,Normal,6.99,mensuel,1,2025-08,2025,8,18,21,0.86,8.45,17.3
13,YouTube Premium,streaming,Silver,13.99,mensuel,0,2025-08,2025,8,4,8,0.5,15.56,10.1
1,Spotify Personal,musique,Normal,9.99,mensuel,1,2025-09,2025,9,17,21,0.81,11.77,15.1
2,Spotify Famille,musique,Gold,16.99,mensuel,1,2025-09,2025,9,8,13,0.62,21.9,22.4
3,Netflix Standard,streaming,Silver,14.99,mensuel,0,2025-09,2025,9,11,12,0.92,19.06,21.4
4,Netflix Premium,streaming,Gold,19.99,mensuel,0,2025-09,2025,9,3,8,0.38,23.51,15.0
5,Office 365 Solo,productivite,Normal,12.99,mensuel,0,2025-09,2025,9,3,4,0.75,16.74,22.4
6,Office 365 Famille,productivite,Gold,22.99,mensuel,1,2025-09,2025,9,3,6,0.5,28.75,20.0
7,Xbox Game Pass,gaming,Silver,11.99,mensuel,1,2025-09,2025,9,8,12,0.67,14.48,17.2
8,Coursera Plus,education,Platinum,49.99,annuel,1,2025-09,2025,9,1,6,0.17,62.99,20.6
9,NordVPN,securite,Normal,7.99,mensuel,1,2025-09,2025,9,17,19,0.89,9.57,16.5
10,Adobe Creative,productivite,Platinum,54.99,mensuel,0,2025-09,2025,9,1,4,0.25,65.28,15.8
11,Disney+,streaming,Normal,8.99,mensuel,0,2025-09,2025,9,15,16,0.94,10.59,15.1
12,Duolingo Plus,education,Normal,6.99,mensuel,1,2025-09,2025,9,8,12,0.67,8.7,19.7
13,YouTube Premium,streaming,Silver,13.99,mensuel,0,2025-09,2025,9,7,11,0.64,17.96,22.1
1,Spotify Personal,musique,Normal,9.99,mensuel,1,2025-10,2025,10,17,22,0.77,12.06,17.2
2,Spotify Famille,musique,Gold,16.99,mensuel,1,2025-10,2025,10,8,12,0.67,20.7,17.9
3,Netflix Standard,streaming,Silver,14.99,mensuel,0,2025-10,2025,10,7,8,0.88,16.74,10.5
4,Netflix Premium,streaming,Gold,19.99,mensuel,0,2025-10,2025,10,7,11,0.64,22.53,11.3
5,Office 365 Solo,productivite,Normal,12.99,mensuel,0,2025-10,2025,10,9,13,0.69,14.76,12.0
6,Office 365 Famille,productivite,Gold,22.99,mensuel,1,2025-10,2025,10,6,9,0.67,27.03,14.9
7,Xbox Game Pass,gaming,Silver,11.99,mensuel,1,2025-10,2025,10,15,17,0.88,14.28,16.0
8,Coursera Plus,education,Platinum,49.99,annuel,1,2025-10,2025,10,2,5,0.4,62.6,20.1
9,NordVPN,securite,Normal,7.99,mensuel,1,2025-10,2025,10,17,21,0.81,9.23,13.4
10,Adobe Creative,productivite,Platinum,54.99,mensuel,0,2025-10,2025,10,2,6,0.33,63.26,13.1
11,Disney+,streaming,Normal,8.99,mensuel,0,2025-10,2025,10,9,10,0.9,10.73,16.2
12,Duolingo Plus,education,Normal,6.99,mensuel,1,2025-10,2025,10,14,19,0.74,7.76,9.9
13,YouTube Premium,streaming,Silver,13.99,mensuel,0,2025-10,2025,10,3,6,0.5,16.02,12.7
1,Spotify Personal,musique,Normal,9.99,mensuel,1,2025-11,2025,11,28,29,0.97,12.55,20.4
2,Spotify Famille,musique,Gold,16.99,mensuel,1,2025-11,2025,11,9,10,0.9,21.25,20.0
3,Netflix Standard,streaming,Silver,14.99,mensuel,0,2025-11,2025,11,15,17,0.88,17.09,12.3
4,Netflix Premium,streaming,Gold,19.99,mensuel,0,2025-11,2025,11,9,10,0.9,24.47,18.3
5,Office 365 Solo,productivite,Normal,12.99,mensuel,0,2025-11,2025,11,3,5,0.6,14.62,11.1
6,Office 365 Famille,productivite,Gold,22.99,mensuel,1,2025-11,2025,11,5,6,0.83,27.88,17.5
7,Xbox Game Pass,gaming,Silver,11.99,mensuel,1,2025-11,2025,11,13,15,0.87,14.3,16.2
8,Coursera Plus,education,Platinum,49.99,annuel,1,2025-11,2025,11,3,6,0.5,62.66,20.2
9,NordVPN,securite,Normal,7.99,mensuel,1,2025-11,2025,11,26,28,0.93,9.76,18.1
10,Adobe Creative,productivite,Platinum,54.99,mensuel,0,2025-11,2025,11,3,4,0.75,69.04,20.4
11,Disney+,streaming,Normal,8.99,mensuel,0,2025-11,2025,11,12,14,0.86,11.62,22.6
12,Duolingo Plus,education,Normal,6.99,mensuel,1,2025-11,2025,11,21,22,0.95,8.5,17.8
13,YouTube Premium,streaming,Silver,13.99,mensuel,0,2025-11,2025,11,12,15,0.8,17.0,17.7
1,Spotify Personal,musique,Normal,9.99,mensuel,1,2025-12,2025,12,32,36,0.89,11.78,15.2
2,Spotify Famille,musique,Gold,16.99,mensuel,1,2025-12,2025,12,15,17,0.88,18.95,10.3
3,Netflix Standard,streaming,Silver,14.99,mensuel,0,2025-12,2025,12,11,13,0.85,16.79,10.7
4,Netflix Premium,streaming,Gold,19.99,mensuel,0,2025-12,2025,12,11,14,0.79,25.39,21.3
5,Office 365 Solo,productivite,Normal,12.99,mensuel,0,2025-12,2025,12,11,16,0.69,16.38,20.7
6,Office 365 Famille,productivite,Gold,22.99,mensuel,1,2025-12,2025,12,7,12,0.58,28.89,20.4
7,Xbox Game Pass,gaming,Silver,11.99,mensuel,1,2025-12,2025,12,12,15,0.8,14.47,17.1
8,Coursera Plus,education,Platinum,49.99,annuel,1,2025-12,2025,12,5,8,0.62,55.68,10.2
9,NordVPN,securite,Normal,7.99,mensuel,1,2025-12,2025,12,20,23,0.87,8.81,9.3
10,Adobe Creative,productivite,Platinum,54.99,mensuel,0,2025-12,2025,12,0,4,0.0,69.53,20.9
11,Disney+,streaming,Normal,8.99,mensuel,0,2025-12,2025,12,10,11,0.91,10.67,15.7
12,Duolingo Plus,education,Normal,6.99,mensuel,1,2025-12,2025,12,20,23,0.87,8.58,18.5
13,YouTube Premium,streaming,Silver,13.99,mensuel,0,2025-12,2025,12,8,12,0.67,17.37,19.5
